249529.9	12743	2375.6	1144.2	9015	132129
252663.76667	8121	2384.3833333	1096.6	8554.7	132185.75
255797.63333	10196	2393.1666667	873.7	8354.7	132242.5
258931.5	10093	2401.95	1089.6	8123.2	132299.25
262065.36667	11854	2410.7333333	1187.1	8142	132356
265199.23333	18172	2419.5166667	1205	8703.5	132412.75
268333.1	13724	2428.3	1215.3	8642	132469.5
271466.96667	12759.7	2437.0833333	1366.8	8629	132526.25
274600.83333	14951.3	2445.8666667	1348.7	8768	132583
277734.7	13318	2454.65	1364.4	9447	132639.75
280868.56667	14425	2463.4333333	1283	10083	132696.5
284002.43333	20553	2472.2166667	1149.9	9790.8	132753.25
287136.3	15398	2481	1111.6	10728.5	132810
290270.16667	10276	2489.7833333	904.5	10756.6	132866.75
293404.03333	13286	2498.5666667	649	9323.8	132923.5
296537.9	13520.3	2507.35	902.9	9317.6	132980.25
299671.76667	16438	2516.1333333	919.4	9343.2	133037
302805.63333	24578.1	2524.9166667	887.6	10028	133093.75
