27331	156775.27387	6641.6	2209.199	649.9	5294	130756
27412.583333	161370.95938	6001.9	2214.2854833	541.5	6314	130813.66667
27494.166667	165966.64489	5796.7	2219.3719667	780.4	6397.7	130871.33333
27575.75	170562.3304	5775	2224.45845	769.5	7437.3	130929
27657.333333	175158.01591	6176	2229.5449333	731.1	10925	130986.66667
27738.916667	179753.70142	6057.8	2234.6314167	813.1	8403	131044.33333
27820.5	184349.38693	6012.2	2239.7179	803	7823	131102
27902.083333	188945.07244	6077	2244.8043833	907.7	9286.1	131159.66667
27983.666667	193540.75796	6553.6	2249.8908667	916.4	8190.9	131217.33333
28065.25	198136.44347	6998	2254.97735	881.3	9241	131275
28146.833333	202732.12898	6822	2260.0638333	959	14160	131332.66667
28278.4	207327.81449	7499.2	2265.3	941	8756	131385.2
28310	211923.5	6535	2270.2	866.2	6535	131448
28397	215057.36667	8008.6	2278.9833333	821	8008.6	131504.75
28483	218191.23333	8050.4	2287.7666667	834.3	8050.4	131561.5
28570	221325.1	9450.8	2296.55	974.4	6673	131618.25
28657	224458.96667	14033	2305.3333333	940.6	7157.5	131675
28743	227592.83333	10620.2	2314.1166667	1032.7	7026	131731.75
28830	230726.7	9961	2322.9	1077.4	6988.2	131788.5
28917	233860.56667	11587.8	2331.6833333	1113.6	7116.6	131845.25
29003	236994.43333	10706.2	2340.4666667	1124.8	7668.4	131902
29090	240128.3	11652	2349.25	1077.2	8263	131958.75
29177	243262.16667	16808.9	2358.0333333	1176.2	8104.7	132015.5
29350	249529.9	12743	2375.6	1144.2	9015	132129
